| Paso | Pila | Entrada | Acción |
|------|------|---------|--------|
| 1 | $ funciones | BOOL ID EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | programa → funciones |
| 2 | $ funciones funcion | BOOL ID EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funciones → funcion funciones |
| 3 | $ funciones funcion_rest ID tipo | BOOL ID EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion → tipo ID funcion_rest |
| 4 | $ funciones funcion_rest ID BOOL | BOOL ID EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | tipo → BOOL |
| 5 | $ funciones funcion_rest ID | ID EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'BOOL' |
| 6 | $ funciones funcion_rest | EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'ID' |
| 7 | $ funciones SEMI inicializacion | EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion_rest → inicializacion SEMI |
| 8 | $ funciones SEMI exp EQUALS | EQUALS TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | inicializacion → EQUALS exp |
| 9 | $ funciones SEMI exp | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'EQUALS' |
| 10 | $ funciones SEMI E | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | exp → E |
| 11 | $ funciones SEMI E_rest C | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E → C E_rest |
| 12 | $ funciones SEMI E_rest C_rest R | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C → R C_rest |
| 13 | $ funciones SEMI E_rest C_rest R_rest T | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R → T R_rest |
| 14 | $ funciones SEMI E_rest C_rest R_rest T_rest F | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T → F T_rest |
| 15 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest A | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F → A F_rest |
| 16 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest TRUE | TRUE SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | A → TRUE |
| 17 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'TRUE' |
| 18 | $ funciones SEMI E_rest C_rest R_rest T_rest | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F_rest → ε |
| 19 | $ funciones SEMI E_rest C_rest R_rest | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T_rest → ε |
| 20 | $ funciones SEMI E_rest C_rest | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R_rest → ε |
| 21 | $ funciones SEMI E_rest | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C_rest → ε |
| 22 | $ funciones SEMI | SEMI STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E_rest → ε |
| 23 | $ funciones | STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'SEMI' |
| 24 | $ funciones funcion | STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funciones → funcion funciones |
| 25 | $ funciones funcion_rest ID tipo | STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion → tipo ID funcion_rest |
| 26 | $ funciones funcion_rest ID STRING | STRING ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | tipo → STRING |
| 27 | $ funciones funcion_rest ID | ID EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'STRING' |
| 28 | $ funciones funcion_rest | EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'ID' |
| 29 | $ funciones SEMI inicializacion | EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion_rest → inicializacion SEMI |
| 30 | $ funciones SEMI exp EQUALS | EQUALS STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | inicializacion → EQUALS exp |
| 31 | $ funciones SEMI exp | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'EQUALS' |
| 32 | $ funciones SEMI E | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | exp → E |
| 33 | $ funciones SEMI E_rest C | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E → C E_rest |
| 34 | $ funciones SEMI E_rest C_rest R | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C → R C_rest |
| 35 | $ funciones SEMI E_rest C_rest R_rest T | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R → T R_rest |
| 36 | $ funciones SEMI E_rest C_rest R_rest T_rest F | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T → F T_rest |
| 37 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest A | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F → A F_rest |
| 38 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest STRING_LITERAL | STRING_LITERAL SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | A → STRING_LITERAL |
| 39 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'STRING_LITERAL' |
| 40 | $ funciones SEMI E_rest C_rest R_rest T_rest | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F_rest → ε |
| 41 | $ funciones SEMI E_rest C_rest R_rest | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T_rest → ε |
| 42 | $ funciones SEMI E_rest C_rest | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R_rest → ε |
| 43 | $ funciones SEMI E_rest | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C_rest → ε |
| 44 | $ funciones SEMI | SEMI BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E_rest → ε |
| 45 | $ funciones | BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'SEMI' |
| 46 | $ funciones funcion | BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funciones → funcion funciones |
| 47 | $ funciones funcion_rest ID tipo | BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion → tipo ID funcion_rest |
| 48 | $ funciones funcion_rest ID BOOL | BOOL ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | tipo → BOOL |
| 49 | $ funciones funcion_rest ID | ID EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'BOOL' |
| 50 | $ funciones funcion_rest | EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'ID' |
| 51 | $ funciones SEMI inicializacion | EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion_rest → inicializacion SEMI |
| 52 | $ funciones SEMI exp EQUALS | EQUALS FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | inicializacion → EQUALS exp |
| 53 | $ funciones SEMI exp | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'EQUALS' |
| 54 | $ funciones SEMI E | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | exp → E |
| 55 | $ funciones SEMI E_rest C | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E → C E_rest |
| 56 | $ funciones SEMI E_rest C_rest R | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C → R C_rest |
| 57 | $ funciones SEMI E_rest C_rest R_rest T | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R → T R_rest |
| 58 | $ funciones SEMI E_rest C_rest R_rest T_rest F | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T → F T_rest |
| 59 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest A | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F → A F_rest |
| 60 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest FALSE | FALSE SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | A → FALSE |
| 61 | $ funciones SEMI E_rest C_rest R_rest T_rest F_rest | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'FALSE' |
| 62 | $ funciones SEMI E_rest C_rest R_rest T_rest | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | F_rest → ε |
| 63 | $ funciones SEMI E_rest C_rest R_rest | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | T_rest → ε |
| 64 | $ funciones SEMI E_rest C_rest | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | R_rest → ε |
| 65 | $ funciones SEMI E_rest | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | C_rest → ε |
| 66 | $ funciones SEMI | SEMI MAIN LPAREN RPAREN LBRACE RBRACE $ | E_rest → ε |
| 67 | $ funciones | MAIN LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'SEMI' |
| 68 | $ funciones funcion | MAIN LPAREN RPAREN LBRACE RBRACE $ | funciones → funcion funciones |
| 69 | $ funciones bloque RPAREN LPAREN MAIN | MAIN LPAREN RPAREN LBRACE RBRACE $ | funcion → MAIN LPAREN RPAREN bloque |
| 70 | $ funciones bloque RPAREN LPAREN | LPAREN RPAREN LBRACE RBRACE $ | Coincidir 'MAIN' |
| 71 | $ funciones bloque RPAREN | RPAREN LBRACE RBRACE $ | Coincidir 'LPAREN' |
| 72 | $ funciones bloque | LBRACE RBRACE $ | Coincidir 'RPAREN' |
| 73 | $ funciones RBRACE instrucciones LBRACE | LBRACE RBRACE $ | bloque → LBRACE instrucciones RBRACE |
| 74 | $ funciones RBRACE instrucciones | RBRACE $ | Coincidir 'LBRACE' |
| 75 | $ funciones RBRACE | RBRACE $ | instrucciones → ε |
| 76 | $ funciones | $ | Coincidir 'RBRACE' |
| 77 | $ | $ | funciones → ε |
